Kingdom_Group,log_genome_count,Repeat_length,Spacer_length,Count
Bacteria_Actinobacteria,0.00679663699936338,29,23,3
Bacteria_Actinobacteria,0.00679663699936338,29,24,6
Bacteria_Actinobacteria,0.00679663699936338,29,25,278
Bacteria_Actinobacteria,0.00679663699936338,29,26,14
Bacteria_Actinobacteria,0.00679663699936338,29,27,5
Bacteria_Actinobacteria,0.00679663699936338,29,28,288
Bacteria_Actinobacteria,0.00679663699936338,29,29,42
Bacteria_Actinobacteria,0.00679663699936338,29,30,114
Bacteria_Actinobacteria,0.00679663699936338,29,31,431
Bacteria_Actinobacteria,0.00679663699936338,29,32,20133
Bacteria_Actinobacteria,0.00679663699936338,29,33,806
Bacteria_Actinobacteria,0.00679663699936338,29,34,124
Bacteria_Actinobacteria,0.00679663699936338,29,35,89
Bacteria_Actinobacteria,0.00679663699936338,29,36,175
Bacteria_Actinobacteria,0.00679663699936338,29,37,79
Bacteria_Actinobacteria,0.00679663699936338,29,38,29
Bacteria_Actinobacteria,0.00679663699936338,29,39,21
Bacteria_Actinobacteria,0.00679663699936338,29,40,27
Bacteria_Actinobacteria,0.00679663699936338,29,41,10
Bacteria_Actinobacteria,0.00679663699936338,29,42,37
Bacteria_Actinobacteria,0.00679663699936338,29,43,150
Bacteria_Actinobacteria,0.00679663699936338,29,44,74
Bacteria_Actinobacteria,0.00679663699936338,29,45,81
Bacteria_Actinobacteria,0.00679663699936338,29,46,57
Bacteria_Actinobacteria,0.00679663699936338,29,47,283
Bacteria_Actinobacteria,0.00679663699936338,29,48,17
Bacteria_Actinobacteria,0.00679663699936338,29,49,11
Bacteria_Actinobacteria,0.00679663699936338,30,20,1
Bacteria_Actinobacteria,0.00679663699936338,30,21,2
Bacteria_Actinobacteria,0.00679663699936338,30,22,2
Bacteria_Actinobacteria,0.00679663699936338,30,24,7
Bacteria_Actinobacteria,0.00679663699936338,30,25,2
Bacteria_Actinobacteria,0.00679663699936338,30,26,2
Bacteria_Actinobacteria,0.00679663699936338,30,27,7
Bacteria_Actinobacteria,0.00679663699936338,30,28,1
Bacteria_Actinobacteria,0.00679663699936338,30,29,1
Bacteria_Actinobacteria,0.00679663699936338,30,30,6
Bacteria_Actinobacteria,0.00679663699936338,30,31,275
Bacteria_Actinobacteria,0.00679663699936338,30,32,16
Bacteria_Actinobacteria,0.00679663699936338,30,33,41
Bacteria_Actinobacteria,0.00679663699936338,30,34,124
Bacteria_Actinobacteria,0.00679663699936338,30,35,208
Bacteria_Actinobacteria,0.00679663699936338,30,36,315
Bacteria_Actinobacteria,0.00679663699936338,30,37,280
Bacteria_Actinobacteria,0.00679663699936338,30,38,136
Bacteria_Actinobacteria,0.00679663699936338,30,39,73
Bacteria_Actinobacteria,0.00679663699936338,30,40,48
Bacteria_Actinobacteria,0.00679663699936338,30,41,14
Bacteria_Actinobacteria,0.00679663699936338,30,42,64
Bacteria_Actinobacteria,0.00679663699936338,30,43,16
Bacteria_Actinobacteria,0.00679663699936338,30,44,11
Bacteria_Actinobacteria,0.00679663699936338,30,45,28
Bacteria_Actinobacteria,0.00679663699936338,30,46,9
Bacteria_Actinobacteria,0.00679663699936338,30,47,9
Bacteria_Actinobacteria,0.00679663699936338,30,48,13
Bacteria_Actinobacteria,0.00679663699936338,31,20,10
Bacteria_Actinobacteria,0.00679663699936338,31,23,60
Bacteria_Actinobacteria,0.00679663699936338,31,25,8
Bacteria_Actinobacteria,0.00679663699936338,31,26,15
Bacteria_Actinobacteria,0.00679663699936338,31,27,1
Bacteria_Actinobacteria,0.00679663699936338,31,28,1
Bacteria_Actinobacteria,0.00679663699936338,31,29,8
Bacteria_Actinobacteria,0.00679663699936338,31,30,46
Bacteria_Actinobacteria,0.00679663699936338,31,31,4
Bacteria_Actinobacteria,0.00679663699936338,31,32,14
Bacteria_Actinobacteria,0.00679663699936338,31,33,65
Bacteria_Actinobacteria,0.00679663699936338,31,34,98
Bacteria_Actinobacteria,0.00679663699936338,31,35,60
Bacteria_Actinobacteria,0.00679663699936338,31,36,20
Bacteria_Actinobacteria,0.00679663699936338,31,37,17
Bacteria_Actinobacteria,0.00679663699936338,31,38,100
Bacteria_Actinobacteria,0.00679663699936338,31,39,4
Bacteria_Actinobacteria,0.00679663699936338,31,40,18
Bacteria_Actinobacteria,0.00679663699936338,31,41,337
Bacteria_Actinobacteria,0.00679663699936338,31,42,24
Bacteria_Actinobacteria,0.00679663699936338,31,43,23
Bacteria_Actinobacteria,0.00679663699936338,31,44,73
Bacteria_Actinobacteria,0.00679663699936338,31,45,24
Bacteria_Actinobacteria,0.00679663699936338,31,46,9
Bacteria_Actinobacteria,0.00679663699936338,31,47,68
Bacteria_Actinobacteria,0.00679663699936338,32,19,24
Bacteria_Actinobacteria,0.00679663699936338,32,20,1
Bacteria_Actinobacteria,0.00679663699936338,32,21,6
Bacteria_Actinobacteria,0.00679663699936338,32,22,81
Bacteria_Actinobacteria,0.00679663699936338,32,23,2
Bacteria_Actinobacteria,0.00679663699936338,32,25,27
Bacteria_Actinobacteria,0.00679663699936338,32,28,9
Bacteria_Actinobacteria,0.00679663699936338,32,29,14
Bacteria_Actinobacteria,0.00679663699936338,32,31,12
Bacteria_Actinobacteria,0.00679663699936338,32,32,13
Bacteria_Actinobacteria,0.00679663699936338,32,33,32
Bacteria_Actinobacteria,0.00679663699936338,32,34,75
Bacteria_Actinobacteria,0.00679663699936338,32,35,53
Bacteria_Actinobacteria,0.00679663699936338,32,36,18
Bacteria_Actinobacteria,0.00679663699936338,32,37,144
Bacteria_Actinobacteria,0.00679663699936338,32,38,4
Bacteria_Actinobacteria,0.00679663699936338,32,39,34
Bacteria_Actinobacteria,0.00679663699936338,32,40,540
Bacteria_Actinobacteria,0.00679663699936338,32,41,45
Bacteria_Actinobacteria,0.00679663699936338,32,42,70
Bacteria_Actinobacteria,0.00679663699936338,32,43,108
